"","IDBASE","TIPOC","tratamiento","trat_nivel","vali_febrero","vali","vali_total","vali_semana","vali_fin","recargas","recar_total","recar_semana","recar_fin","recar_fin","valor_recargas_total","valor_recarga_promedio","sald_promedio_antes","sald_promedio_despues","num_gastos","viajes_sitp","viajes_carro","semana_tratado","GENERO","diff","diff2","P22C","P22M","P3","automovil","moto","no_tiene_medio_trans","bici_pati","trabaja","estudia","casado","strata"
"404",3796,"Tratamiento 2",1,1,1.75,19,19,15,4,1,1,1,0,0,10000,10000,1200,11200,1,2,0,20,1,150,NA,6,10,7,0,0,1,0,1,0,0,2
"405",3809,"Tratamiento 2",1,1,19,20,20,17,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,0,90,NA,10,5,4,0,0,1,0,1,0,0,1
"406",3831,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,26,0,120,NA,5,5,1,0,0,1,0,1,0,0,3
"407",3856,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,0,100,NA,7,12,1,0,0,1,0,1,0,0,2
"408",3868,"Tratamiento 2",1,1,9.5,14,14,14,0,2,2,2,0,0,15000,7500,1100,8600,2,2,0,21,1,120,NA,7,20,4,0,0,1,0,1,0,0,2
"409",3873,"Tratamiento 1",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,1,115,NA,4,5,5,0,0,1,0,1,0,0,1
"410",3894,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,70,NA,2,15,2,0,0,1,0,0,0,0,3
"411",3897,"Tratamiento 1",1,2,4,1,1,1,0,1,1,1,0,0,28000,28000,400,28400,2,2,0,21,1,90,NA,4,4,2,0,0,0,1,1,0,0,2
"412",3900,"Tratamiento 2",1,1,13,0,0,0,0,1,1,1,0,0,21000,21000,400,21400,2,0,0,26,1,75,NA,10,15,4,0,0,0,1,1,0,0,3
"413",3913,"Tratamiento 1",1,2,10,20,20,18,2,1,1,1,0,0,15000,15000,1700,16700,5,2,0,20,1,50,70,4,7,5,0,0,1,0,1,0,0,2
"414",3920,"Tratamiento 2",1,1,9.5,17,17,15,2,1,1,1,0,0,20000,20000,2950,22950,1,2,0,21,1,70,NA,4,3,2,0,0,1,0,1,0,0,2
"415",3923,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,0,60,75,1,1,3,0,0,1,0,1,0,0,3
"416",3924,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,240,100,NA,NA,4,0,0,0,1,1,0,0,2
"417",3944,"Tratamiento 1",1,2,9.5,28,28,22,6,1,1,0,1,1,28000,28000,12800,40800,1,2,0,20,0,NA,80,NA,NA,4,0,0,1,0,1,0,1,2
"418",3952,"Tratamiento 1",1,2,7,15,15,10,5,1,1,0,1,1,28000,28000,19650,47650,2,0,0,20,1,60,75,NA,NA,5,1,0,0,0,1,0,0,2
"419",3955,"Tratamiento 2",1,1,6.5,10,10,7,3,2,2,1,1,1,10000,5000,16600,21600,1,2,0,26,0,60,75,2,3,4,0,0,0,1,1,0,0,2
"420",3978,"Tratamiento 2",1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,1,NA,90,NA,NA,4,0,0,1,0,1,0,1,3
"421",3979,"Tratamiento 1",1,2,7.75,12,12,12,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,90,NA,2,5,4,0,0,1,0,1,0,0,3
"422",3986,"Tratamiento 1",1,2,4,4,4,3,1,0,0,0,0,0,0,0,0,0,1,2,0,26,0,600,NA,5,12,5,0,1,0,1,1,0,0,3
"423",3992,"Tratamiento 1",1,2,7.75,3,3,3,0,1,1,1,0,0,5000,5000,0,5000,NA,NA,NA,1000,1,30,90,3,5,3,0,0,1,0,1,0,0,3
"424",3998,"Tratamiento 2",1,1,11.25,9,9,6,3,2,2,2,0,0,9500,4750,0,4750,8,2,0,20,0,150,NA,10,10,3,0,0,1,0,1,0,1,2
"425",4007,"Tratamiento 1",1,2,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,40,70,5,5,3,1,0,0,0,1,0,0,3
"426",4036,"Control",0,0,1.75,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,0,90,NA,2,5,7,0,0,1,0,1,0,0,1
"427",4041,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1000,1,75,NA,7,15,3,1,1,0,0,1,0,0,3
"428",4042,"Control",0,0,3.75,6,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,NA,90,NA,NA,3,0,0,1,0,0,0,0,3
"429",4074,"Control",0,0,5.75,11,11,11,0,1,1,1,0,0,9000,9000,8400,17400,2,0,0,1000,1,45,NA,NA,NA,3,0,1,0,0,1,0,0,2
"430",4076,"Control",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,40,NA,2,3,3,0,0,0,1,1,0,0,3
"431",4092,"Control",0,0,4.25,13,13,8,5,3,3,1,2,2,34000,11333.3333333333,2433.33333333333,13766.6666666667,NA,NA,NA,1000,1,120,90,2,10,4,0,0,1,0,1,0,0,2
"432",4105,"Control",0,0,0.5,9,9,9,0,3,3,3,0,0,25000,8333.33333333333,0,8333.33333333333,3,1,0,1000,1,30,NA,NA,NA,3,0,0,0,1,1,0,0,2
"433",4111,"Control",0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,75,NA,6,5,2,0,0,1,0,1,0,0,2
"434",4121,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,18,85,NA,NA,3,0,0,0,1,1,0,1,1
"435",4122,"Control",0,0,4.25,9,9,6,3,1,1,1,0,0,20000,20000,0,20000,NA,NA,NA,1000,0,120,90,6,10,3,0,0,1,0,1,0,0,2
"436",4137,"Control",0,0,8.5,11,11,7,4,3,3,2,1,1,15500,5166.66666666667,466.666666666667,5633.33333333333,1,1,0,1000,1,60,NA,3,4,5,0,0,0,1,1,0,0,2
"437",4145,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,120,NA,1,3,2,0,0,0,1,1,0,0,3
"438",4148,"Control",0,0,21.5,14,14,12,2,2,2,2,0,0,40000,20000,1300,21300,1,2,0,1000,1,70,NA,3,5,4,0,0,1,0,1,0,0,2
"439",4151,"Control",0,0,3,13,13,13,0,3,3,3,0,0,50000,16666.6666666667,1666.66666666667,18333.3333333333,1,1,0,1000,1,150,NA,2,3,6,0,0,1,0,1,0,0,2
"440",4159,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1000,1,170,NA,15,10,4,1,1,0,0,1,0,1,2
"441",4171,"Control",0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,NA,110,NA,NA,3,0,0,1,0,1,0,0,2
"442",4188,"Control",0,0,13.5,16,16,13,3,4,4,4,0,0,40000,10000,325,10325,NA,NA,NA,1000,1,120,NA,3,5,2,0,0,1,0,1,0,1,2
"443",4210,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,0,NA,100,NA,NA,2,0,0,0,1,1,0,0,2
"444",4216,"Control",0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,30,NA,8,10,2,0,0,1,0,0,0,0,NA
"445",4219,"Control",0,0,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1000,0,105,NA,2,10,4,0,0,1,0,1,0,0,1
"446",4220,"Control",0,0,10.25,22,22,17,5,5,5,4,1,1,24700,4940,1820,6760,NA,NA,NA,1000,1,NA,115,NA,NA,2,0,0,1,0,1,0,0,1
"447",4288,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1000,0,NA,90,NA,NA,3,0,0,0,1,1,0,0,2
"448",4294,"Control",0,0,9,9,9,9,0,1,1,1,0,0,50000,50000,2800,52800,1,0,0,1000,0,150,NA,3,5,2,0,0,1,0,1,0,1,3
"449",4306,"Control",0,0,17.5,12,12,12,0,2,2,2,0,0,27000,13500,350,13850,NA,NA,NA,1000,1,NA,120,NA,NA,2,0,0,1,0,1,0,0,3
"450",4309,"Control",0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,65,NA,8,5,5,0,1,0,0,1,0,0,2
"451",4326,"Control",0,0,20.5,22,22,17,5,1,1,0,1,1,15000,15000,9400,24400,2,1,0,1000,1,NA,100,NA,NA,3,0,0,1,0,1,0,0,2
"452",4332,"Control",0,0,14,2,2,0,2,1,1,0,1,1,5000,5000,3700,8700,1,0,0,1000,1,30,105,5,7,5,0,1,0,0,1,0,0,2
"453",4401,"Control",0,0,1,2,2,2,0,1,1,1,0,0,4000,4000,2900,6900,1,0,0,1000,0,120,NA,NA,NA,2,1,0,0,0,1,0,1,2
"454",4404,"Control",0,0,20.75,33,33,25,8,5,5,4,1,1,60000,12000,1660,13660,NA,NA,NA,1000,1,105,NA,4,5,3,0,0,1,0,1,0,0,2
"455",4415,"Control",0,0,7.25,10,10,10,0,1,1,1,0,0,30000,30000,6200,36200,1,2,0,1000,0,NA,85,NA,NA,5,1,0,0,0,1,0,0,2
"456",4422,"Control",0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,90,NA,7,20,2,0,0,1,0,1,0,0,1
"457",4448,"Control",0,0,7.25,3,3,3,0,1,1,1,0,0,10000,10000,1400,11400,1,2,0,1000,1,150,NA,3,10,4,0,0,1,0,1,0,0,3
"458",4457,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,180,NA,10,10,4,0,0,1,0,0,0,1,2
"459",4473,"Control",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1000,1,120,NA,7,15,6,0,0,1,0,1,0,0,2
"460",4480,"Control",0,0,10.5,3,3,2,1,1,1,0,1,1,10000,10000,3300,13300,2,1,0,1000,1,70,120,4,10,5,0,1,0,0,1,0,0,2
"461",4518,"Control",0,0,2.25,1,1,1,0,1,1,0,1,1,10000,10000,9000,19000,1,0,0,1000,0,10,30,NA,NA,5,0,0,0,1,0,0,1,2
"462",4533,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1000,1,45,NA,2,15,6,0,0,1,0,0,0,0,2
"463",4542,"Control",0,0,8.25,10,10,9,1,3,3,2,1,1,25000,8333.33333333333,0,8333.33333333333,1,0,0,1000,1,90,NA,3,3,4,0,0,1,0,1,0,0,2
"464",4564,"Control",0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,NA,90,NA,NA,7,0,0,1,0,1,0,0,2
"465",4608,"Control",0,0,14.75,19,19,16,3,1,1,1,0,0,30000,30000,2900,32900,1,1,0,1000,1,60,NA,10,15,4,1,0,0,0,1,0,1,2
"466",4615,"Control",0,0,5.25,1,1,1,0,1,1,1,0,0,2600,2600,300,2900,NA,NA,NA,1000,1,30,45,NA,NA,3,0,0,1,0,1,0,0,3
"467",4625,"Control",0,0,2,13,13,9,4,3,3,2,1,1,25000,8333.33333333333,2766.66666666667,11100,1,2,0,1000,0,150,NA,4,5,4,0,0,1,0,1,0,0,1
"468",4628,"Control",0,0,6.75,4,4,1,3,1,1,1,0,0,10000,10000,500,10500,1,2,0,1000,0,90,NA,8,5,3,0,0,1,0,1,0,0,2
"469",4631,"Control",0,0,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,30,110,1,99,2,0,1,0,0,1,0,0,1
"470",4634,"Control",0,0,6.75,7,7,5,2,3,3,2,1,1,15000,5000,133.333333333333,5133.33333333333,3,1,0,1000,1,120,NA,3,3,4,0,0,1,0,1,0,0,1
"471",4644,"Control",0,0,1.5,18,18,14,4,1,1,1,0,0,50000,50000,64500,114500,1,1,1,1000,0,120,NA,2,5,2,0,0,0,1,1,0,1,1
"472",4682,"Control",0,0,10.5,16,16,16,0,3,3,3,0,0,60000,20000,1166.66666666667,21166.6666666667,NA,NA,NA,1000,1,120,NA,6,15,4,0,0,1,0,1,0,1,2
"473",4725,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,100,100,3,5,5,0,0,1,0,1,1,0,3
"474",4730,"Control",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1000,1,30,NA,1,2,4,0,0,1,0,1,0,0,2
"475",4735,"Control",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,0,120,NA,1,10,6,1,0,0,1,1,0,1,2
"476",4738,"Control",0,0,19,16,16,11,5,1,1,1,0,0,15000,15000,7600,22600,NA,NA,NA,1000,1,90,NA,8,15,5,0,0,1,0,1,1,0,2
"477",4743,"Control",0,0,4,8,8,8,0,4,4,3,1,1,16000,4000,900,4900,2,2,0,1000,1,75,75,NA,NA,5,0,0,1,0,1,0,0,2
"478",4754,"Control",0,0,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,90,NA,5,6,4,0,0,1,0,1,0,0,2
"479",4771,"Control",0,0,4.25,15,15,15,0,1,1,0,1,1,40000,40000,0,40000,2,2,0,1000,1,80,NA,3,15,2,0,0,0,1,1,0,0,2
"480",4774,"Control",0,0,19.25,19,19,17,2,4,4,3,1,1,17400,4350,8375,12725,NA,NA,NA,1000,0,120,NA,1,1,4,0,0,1,0,1,0,0,2
"481",4796,"Control",0,0,1.5,6,6,4,2,2,2,1,1,1,10000,5000,600,5600,2,1,0,1000,1,NA,120,NA,NA,2,0,0,0,1,0,1,0,2
"482",4801,"Control",0,0,3.25,7,7,4,3,2,2,1,1,1,16500,8250,600,8850,NA,NA,NA,1000,1,110,NA,10,5,2,0,0,1,0,1,0,0,2
"483",4849,"Control",0,0,26.75,28,28,22,6,0,0,0,0,0,0,0,0,0,2,1,1,1000,0,110,NA,5,5,4,0,1,0,0,0,1,0,1
"484",4868,"Control",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,90,NA,1,5,6,0,0,1,0,1,0,0,2
"485",4876,"Control",0,0,12,12,12,10,2,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,NA,80,NA,NA,3,1,0,0,1,1,0,1,2
"486",4884,"Control",0,0,5.75,11,11,9,2,0,0,0,0,0,0,0,0,0,1,2,0,1000,1,NA,60,NA,NA,1,0,0,1,0,1,0,0,2
"487",4891,"Control",0,0,2,2,2,2,0,1,1,1,0,0,10000,10000,4750,14750,1,0,0,1000,0,150,30,NA,NA,2,0,0,0,1,1,0,1,2
"488",4895,"Control",0,0,25.5,20,20,18,2,1,1,1,0,0,20000,20000,0,20000,2,1,0,1000,0,75,NA,2,3,1,0,0,0,1,1,0,0,2
"489",4902,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,60,60,3,10,7,0,1,0,0,0,0,0,2
"490",4913,"Control",0,0,7.75,7,7,7,0,2,2,2,0,0,25000,12500,10300,22800,NA,NA,NA,1000,1,60,NA,5,15,6,0,0,1,0,1,0,0,3
"491",4926,"Control",0,0,17.5,12,12,12,0,3,3,3,0,0,70000,23333.3333333333,0,23333.3333333333,5,2,0,1000,1,140,79,30,30,4,0,0,0,1,1,0,0,3
"492",4943,"Control",0,0,8,10,10,6,4,2,2,1,1,1,15000,7500,100,7600,1,0,0,1000,1,90,NA,2,5,2,0,0,1,0,1,0,0,2
"493",4962,"Control",0,0,11.25,1,1,1,0,1,1,1,0,0,2500,2500,20300,22800,3,0,0,1000,1,75,NA,15,15,2,0,0,1,0,1,0,0,2
"494",4997,"Control",0,0,8.5,4,4,1,3,1,1,0,1,1,10000,10000,0,10000,2,2,0,1000,1,60,NA,3,10,3,0,1,0,0,1,0,0,2
"495",5003,"Control",0,0,3.75,19,19,11,8,1,1,1,0,0,10000,10000,3800,13800,NA,NA,NA,1000,0,75,100,4,10,2,0,0,1,0,1,0,0,2
"496",5029,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,40,NA,4,10,4,0,0,1,0,1,0,0,2
"497",5033,"Tratamiento 1",1,2,9.5,6,6,6,0,1,1,1,0,0,28000,28000,0,28000,NA,NA,NA,26,1,820,NA,5,12,5,0,1,0,1,1,0,0,1
"498",5037,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,180,NA,2,10,3,0,0,1,0,1,0,1,1
"499",5112,"Tratamiento 2",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,1,120,150,4,20,3,0,0,1,0,1,0,0,3
"500",5113,"Tratamiento 2",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1000,0,100,NA,1,3,4,0,0,0,1,1,0,0,2
"501",5116,"Tratamiento 2",1,1,0,3,3,3,0,2,2,2,0,0,7500,3750,1250,5000,NA,NA,NA,1000,0,NA,60,NA,NA,4,1,0,0,0,1,0,1,2
"502",5124,"Tratamiento 2",1,1,2.25,10,10,5,5,4,4,1,3,3,12000,3000,9350,12350,NA,NA,NA,20,1,15,NA,NA,NA,7,0,1,0,1,0,0,0,2
"503",5154,"Tratamiento 2",1,1,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,0,60,NA,8,12,4,0,0,1,0,1,0,0,2
"504",5167,"Tratamiento 1",1,2,10,11,11,10,1,2,2,2,0,0,12000,6000,3000,9000,3,2,0,20,1,50,NA,5,5,2,0,0,1,0,1,0,0,2
"505",5184,"Tratamiento 1",1,2,6.25,8,8,8,0,0,0,0,0,0,0,0,0,0,2,1,0,20,0,5,90,NA,NA,1,0,0,1,0,0,0,0,2
"506",5196,"Tratamiento 2",1,1,24,9,9,6,3,3,3,3,0,0,15000,5000,2600,7600,2,1,1,21,1,105,NA,6,5,4,0,0,1,0,1,0,0,2
"507",5200,"Tratamiento 1",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,90,NA,5,10,7,0,0,0,1,1,0,0,2
"508",5206,"Tratamiento 1",1,2,12.25,12,12,12,0,5,5,5,0,0,25000,5000,26400,31400,2,1,0,20,1,165,NA,5,15,1,0,0,1,0,1,0,0,2
"509",5216,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,1,NA,90,NA,NA,2,0,0,1,0,0,0,0,2
"510",5224,"Tratamiento 2",1,1,7.25,8,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,110,NA,3,10,5,0,0,1,0,1,0,1,2
"511",5236,"Tratamiento 2",1,1,19.5,17,17,15,2,5,5,4,1,1,37500,7500,2900,10400,1,1,0,20,1,120,NA,10,10,4,0,0,1,0,1,0,0,2
"512",5242,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,105,NA,6,5,4,0,1,0,0,1,0,0,2
"513",5259,"Tratamiento 1",1,2,4.25,3,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,25,1,150,NA,3,10,2,0,0,1,0,1,0,0,2
"514",5267,"Tratamiento 2",1,1,6.5,10,10,8,2,1,1,1,0,0,10000,10000,800,10800,2,2,0,21,1,80,110,1,5,3,0,0,0,1,1,0,0,2
"515",5277,"Tratamiento 1",1,2,4,9,9,7,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,1,90,NA,6,15,3,0,0,1,0,0,0,1,2
"516",5296,"Tratamiento 1",1,2,7.5,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,20,1,120,180,2,5,1,0,0,1,0,1,0,0,1
"517",5312,"Tratamiento 1",1,2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,20,0,60,NA,3,5,3,0,0,0,1,1,0,1,2
"518",5318,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25,0,90,NA,3,5,5,0,1,0,0,1,0,0,2
"519",5326,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,NA,80,NA,NA,4,0,0,0,1,1,0,0,2
"520",5335,"Tratamiento 1",1,2,9.5,13,13,13,0,2,2,2,0,0,15000,7500,3600,11100,1,1,0,21,1,NA,90,NA,NA,5,0,0,1,0,1,0,0,2
"521",5352,"Tratamiento 1",1,2,8,10,10,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,1,140,NA,5,5,3,0,0,1,0,1,0,0,2
"522",5356,"Tratamiento 1",1,2,20,12,12,10,2,1,1,1,0,0,20000,20000,7300,27300,NA,NA,NA,20,0,30,NA,8,7,6,0,0,0,1,1,0,0,2
"523",5361,"Tratamiento 1",1,2,7,2,2,2,0,2,2,2,0,0,11000,5500,1550,7050,1,1,0,21,0,NA,150,NA,NA,4,0,0,0,1,1,0,1,2
"524",5368,"Tratamiento 2",1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,1,45,NA,1,2,3,0,0,0,1,1,0,0,3
"525",5380,"Tratamiento 1",1,2,8.75,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,21,1,75,NA,2,5,5,0,0,0,1,1,0,0,2
"526",5397,"Tratamiento 1",1,2,3.75,8,8,6,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,0,30,60,1,5,5,0,0,1,0,0,0,0,2
"527",5398,"Tratamiento 2",1,1,23.25,4,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,21,0,120,NA,1,5,4,0,0,0,1,1,0,0,2
"528",5409,"Tratamiento 2",1,1,10.75,17,17,13,4,2,2,1,1,1,20000,10000,350,10350,2,1,0,20,1,60,NA,6,5,3,0,0,1,0,1,0,0,2
"529",5422,"Tratamiento 1",1,2,13,16,16,10,6,2,2,1,1,1,27000,13500,1250,14750,1,2,0,20,1,150,NA,10,10,2,0,0,1,0,1,0,0,1
"530",5430,"Tratamiento 2",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,20,0,NA,120,NA,NA,3,0,0,0,1,0,0,1,2
"531",5439,"Tratamiento 2",1,1,14.5,14,14,10,4,1,1,1,0,0,5000,5000,7900,12900,2,1,0,21,0,85,NA,1,3,4,0,0,0,1,1,0,1,2
"532",5441,"Tratamiento 2",1,1,15.25,15,15,10,5,2,2,1,1,1,30000,15000,3600,18600,3,1,0,21,1,120,NA,2,5,6,0,0,1,0,1,0,0,2
"533",5445,"Tratamiento 1",1,2,4.25,12,12,8,4,1,1,0,1,1,28000,28000,0,28000,2,0,0,21,0,60,NA,2,3,5,0,0,1,0,0,0,0,2
"534",5453,"Tratamiento 1",1,2,0.75,11,11,6,5,1,1,1,0,0,4000,4000,0,4000,1,2,0,21,1,50,NA,10,21,3,0,0,1,0,1,0,0,2
"535",5454,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26,1,100,NA,2,2,2,0,0,1,0,1,0,0,2
"536",5475,"Tratamiento 1",1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,20,90,NA,NA,3,0,0,1,0,0,0,0,2
"537",5490,"Tratamiento 2",1,1,10.75,13,13,11,2,5,5,4,1,1,23000,4600,3220,7820,1,2,0,1000,1,105,NA,10,20,3,0,1,0,0,1,0,1,2
"538",5494,"Tratamiento 2",1,1,4.75,3,3,3,0,1,1,1,0,0,21000,21000,700,21700,1,1,0,20,1,120,120,3,5,4,0,1,0,0,0,0,1,2
"539",5504,"Tratamiento 2",1,1,8.5,15,15,11,4,1,1,1,0,0,10000,10000,0,10000,1,2,0,1000,0,NA,90,NA,NA,4,0,0,1,0,1,0,0,2
"540",5522,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,21,1,70,NA,3,4,5,0,0,1,0,1,0,0,2
"541",5524,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,0,60,NA,10,10,6,0,0,0,1,1,0,1,2
"542",5575,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,60,NA,2,2,5,0,0,0,1,1,0,0,2
"543",5586,"Tratamiento 1",1,2,3,15,15,12,3,1,1,0,1,1,30000,30000,7400,37400,2,1,0,20,0,NA,60,NA,NA,7,0,0,0,1,1,0,1,2
"544",5620,"Tratamiento 1",1,2,5.25,5,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,20,0,45,NA,5,8,7,0,1,0,1,1,0,0,2
"545",5630,"Tratamiento 2",1,1,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,1,NA,90,NA,NA,4,1,1,0,0,1,0,1,2
"546",5637,"Tratamiento 1",1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,NA,120,NA,NA,7,0,0,0,1,0,1,0,2
"547",5642,"Tratamiento 1",1,2,9,6,6,2,4,3,3,3,0,0,51000,17000,4833.33333333333,21833.3333333333,1,0,0,32,1,60,90,6,20,4,0,0,1,0,1,0,0,1
"548",5643,"Tratamiento 1",1,2,12.75,22,22,19,3,2,2,2,0,0,16000,8000,15650,23650,1,2,0,21,0,60,60,12,10,4,0,0,1,0,0,0,0,1
"549",5651,"Tratamiento 2",1,1,11.75,19,19,16,3,1,1,1,0,0,30000,30000,12000,42000,1,0,0,20,0,NA,120,NA,NA,4,0,0,1,0,1,0,0,1
"550",5662,"Tratamiento 2",1,1,13.75,19,19,15,4,4,4,2,2,2,25000,6250,1125,7375,NA,NA,NA,20,1,90,NA,3,3,3,0,0,1,0,1,0,0,2
"551",5669,"Tratamiento 1",1,2,11.25,12,12,11,1,2,2,1,1,1,29900,14950,0,14950,NA,NA,NA,1000,1,NA,80,NA,NA,4,0,0,0,1,1,0,0,2
"552",5672,"Tratamiento 2",1,1,8.25,6,6,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26,1,50,NA,2,2,4,0,0,0,1,1,0,0,2
"553",5674,"Tratamiento 1",1,2,0,9,9,9,0,1,1,1,0,0,28000,28000,8350,36350,NA,NA,NA,24,1,45,NA,3,5,5,0,0,1,0,1,0,1,2
"554",5683,"Tratamiento 1",1,2,10.5,17,17,17,0,1,1,1,0,0,10000,10000,2400,12400,1,2,0,20,1,70,NA,1,3,4,0,0,1,0,1,0,0,2
"555",5692,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,20,1,90,NA,3,3,5,0,0,1,0,1,0,0,1
"556",5697,"Tratamiento 2",1,1,24,22,22,18,4,2,2,1,1,1,25000,12500,450,12950,NA,NA,NA,25,1,60,NA,7,10,4,0,0,1,0,1,0,0,1
"557",5705,"Tratamiento 1",1,2,14.5,11,11,8,3,0,0,0,0,0,0,0,0,0,1,2,0,20,1,60,90,8,5,4,0,0,1,0,1,0,0,2
"558",5709,"Tratamiento 1",1,2,19,24,24,19,5,5,5,4,1,1,29400,5880,1200,7080,NA,NA,NA,20,1,120,NA,5,5,6,0,0,1,0,1,0,0,1
"559",5713,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,0,10,NA,2,3,3,0,0,1,0,1,0,1,3
